x0000,y0000,x0000
0,-0.21,87.1
0.00277778,-0.2,87.10277778
0.00555556,-0.225,87.10555556
0.00833333,-0.24,87.10833333
0.01111111,-0.215,87.11111111
0.01388889,-0.17,87.11388889
0.01666667,-0.14,87.11666667
0.01944444,-0.175,87.11944444
0.02222222,-0.205,87.12222222
0.025,-0.205,87.125
0.02777778,-0.19,87.12777778
0.03055556,-0.16,87.13055556
0.03333333,-0.16,87.13333333
0.03611111,-0.175,87.13611111
0.03888889,-0.205,87.13888889
0.04166667,-0.245,87.14166667
0.04444444,-0.22,87.14444444
0.04722222,-0.18,87.14722222
0.05,-0.17,87.15
0.05277778,-0.215,87.15277778
0.05555556,-0.25,87.15555556
0.05833333,-0.245,87.15833333
0.06111111,-0.23,87.16111111
0.06388889,-0.21,87.16388889
0.06666667,-0.205,87.16666667
0.06944444,-0.215,87.16944444
0.07222222,-0.22,87.17222222
0.075,-0.215,87.175
0.07777778,-0.22,87.17777778
0.08055556,-0.22,87.18055556
0.08333333,-0.23,87.18333333
0.08611111,-0.27,87.18611111
0.08888889,-0.26,87.18888889
0.09166667,-0.26,87.19166667
0.09444444,-0.265,87.19444444
0.09722222,-0.245,87.19722222
0.1,-0.235,87.2
0.10277778,-0.22,87.20277778
0.10555556,-0.245,87.20555556
0.10833333,-0.265,87.20833333
0.11111111,-0.26,87.21111111
0.11388889,-0.25,87.21388889
0.11666667,-0.28,87.21666667
0.11944444,-0.305,87.21944444
0.12222222,-0.295,87.22222222
0.125,-0.26,87.225
0.12777778,-0.245,87.22777778
0.13055556,-0.235,87.23055556
0.13333333,-0.225,87.23333333
0.13611111,-0.23,87.23611111
0.13888889,-0.23,87.23888889
0.14166667,-0.235,87.24166667
0.14444444,-0.215,87.24444444
0.14722222,-0.205,87.24722222
0.15,-0.185,87.25
0.15277778,-0.175,87.25277778
0.15555556,-0.19,87.25555556
0.15833333,-0.175,87.25833333
0.16111111,-0.105,87.26111111
0.16388889,-0.06,87.26388889
0.16666667,-0.045,87.26666667
0.16944444,-0.035,87.26944444
0.17222222,0.02,87.27222222
0.175,0.085,87.275
0.17777778,0.1,87.27777778
0.18055556,0.075,87.28055556
0.18333333,0.045,87.28333333
0.18611111,0.015,87.28611111
0.18888889,-0.005,87.28888889
0.19166667,0.035,87.29166667
0.19444444,0.045,87.29444444
0.19722222,0.025,87.29722222
0.2,-0.025,87.3
0.20277778,-0.11,87.30277778
0.20555556,-0.205,87.30555556
0.20833333,-0.235,87.30833333
0.21111111,-0.2,87.31111111
0.21388889,-0.2,87.31388889
0.21666667,-0.235,87.31666667
0.21944444,-0.255,87.31944444
0.22222222,-0.29,87.32222222
0.225,-0.305,87.325
0.22777778,-0.285,87.32777778
0.23055556,-0.265,87.33055556
0.23333333,-0.315,87.33333333
0.23611111,-0.37,87.33611111
0.23888889,-0.385,87.33888889
0.24166667,-0.355,87.34166667
0.24444444,-0.34,87.34444444
0.24722222,-0.305,87.34722222
0.25,-0.275,87.35
0.25277778,-0.255,87.35277778
0.25555556,-0.27,87.35555556
0.25833333,-0.305,87.35833333
0.26111111,-0.355,87.36111111
0.26388889,-0.44,87.36388889
0.26666667,-0.47,87.36666667
0.26944444,-0.485,87.36944444
0.27222222,-0.44,87.37222222
0.275,-0.3,87.375
0.27777778,-0.055,87.37777778
0.28055556,0.365,87.38055556
0.28333333,0.89,87.38333333
0.28611111,1.385,87.38611111
0.28888889,1.725,87.38888889
0.29166667,1.92,87.39166667
0.29444444,1.985,87.39444444
0.29722222,1.96,87.39722222
0.3,1.85,87.4
0.30277778,1.585,87.40277778
0.30555556,1.095,87.40555556
0.30833333,0.455,87.40833333
0.31111111,-0.185,87.41111111
