x0000,y0000
0.,-0.095
0.0027777778,-0.095
0.0055555556,-0.095
0.0083333333,-0.095
0.0111111111,-0.095
0.0138888889,-0.095
0.0166666667,-0.095
0.0194444444,-0.095
0.0222222222,-0.11
0.025,-0.14
0.0277777778,-0.14
0.0305555556,-0.135
0.0333333333,-0.115
0.0361111111,-0.11
0.0388888889,-0.135
0.0416666667,-0.15
0.0444444444,-0.18
0.0472222222,-0.175
0.05,-0.16
0.0527777778,-0.15
0.0555555556,-0.16
0.0583333333,-0.17
0.0611111111,-0.185
0.0638888889,-0.18
0.0666666667,-0.175
0.0694444444,-0.155
0.0722222222,-0.17
0.075,-0.195
0.0777777778,-0.21
0.0805555556,-0.175
0.0833333333,-0.145
0.0861111111,-0.135
0.0888888889,-0.125
0.0916666667,-0.145
0.0944444444,-0.165
0.0972222222,-0.155
0.1,-0.135
0.1027777778,-0.12
0.1055555556,-0.11
0.1083333333,-0.11
0.1111111111,-0.125
0.1138888889,-0.12
0.1166666667,-0.12
0.1194444444,-0.1
0.1222222222,-0.03
0.125,0.075
0.1277777778,0.2
0.1305555556,0.315
0.1333333333,0.405
0.1361111111,0.48
0.1388888889,0.57
0.1416666667,0.66
0.1444444444,0.815
0.1472222222,1.005
0.15,1.24
0.1527777778,1.465
0.1555555556,1.7
0.1583333333,1.91
0.1611111111,2.055
0.1638888889,2.1
0.1666666667,2.045
0.1694444444,1.85
0.1722222222,1.47
0.175,1.045
0.1777777778,0.745
0.1805555556,0.595
0.1833333333,0.5
0.1861111111,0.465
0.1888888889,0.435
0.1916666667,0.415
0.1944444444,0.395
0.1972222222,0.375
0.2,0.35
0.2027777778,0.3
0.2055555556,0.245
0.2083333333,0.18
0.2111111111,0.135
0.2138888889,0.115
0.2166666667,0.115
0.2194444444,0.075
0.2222222222,0.025
0.225,-0.02
0.2277777778,-0.07
0.2305555556,-0.1
0.2333333333,-0.13
0.2361111111,-0.155
0.2388888889,-0.2
0.2416666667,-0.245
0.2444444444,-0.275
0.2472222222,-0.29
0.25,-0.285
0.2527777778,-0.275
0.2555555556,-0.29
0.2583333333,-0.305
0.2611111111,-0.325
0.2638888889,-0.325
0.2666666667,-0.32
0.2694444444,-0.33
0.2722222222,-0.34
0.275,-0.35
0.2777777778,-0.35
0.2805555556,-0.345
0.2833333333,-0.34
0.2861111111,-0.34
0.2888888889,-0.35
0.2916666667,-0.36
0.2944444444,-0.365
0.2972222222,-0.375
0.3,-0.375
0.3027777778,-0.36
0.3055555556,-0.365
0.3083333333,-0.395
0.3111111111,-0.39
0.3138888889,-0.395
0.3166666667,-0.385
0.3194444444,-0.405
0.3222222222,-0.42
0.325,-0.425
0.3277777778,-0.44
0.3305555556,-0.44
0.3333333333,-0.44
0.3361111111,-0.45
0.3388888889,-0.465
0.3416666667,-0.46
0.3444444444,-0.49
0.3472222222,-0.475
0.35,-0.465
0.3527777778,-0.48
0.3555555556,-0.51
0.3583333333,-0.53
0.3611111111,-0.555
0.3638888889,-0.56
0.3666666667,-0.525
0.3694444444,-0.535
0.3722222222,-0.56
0.375,-0.59
0.3777777778,-0.62
0.3805555556,-0.585
0.3833333333,-0.57
0.3861111111,-0.56
0.3888888889,-0.575
0.3916666667,-0.585
0.3944444444,-0.595
0.3972222222,-0.565
0.4,-0.54
0.4027777778,-0.525
0.4055555556,-0.51
0.4083333333,-0.525
0.4111111111,-0.515
0.4138888889,-0.47
0.4166666667,-0.445
0.4194444444,-0.41
0.4222222222,-0.4
0.425,-0.39
0.4277777778,-0.37
0.4305555556,-0.345
0.4333333333,-0.3
0.4361111111,-0.29
0.4388888889,-0.25
0.4416666667,-0.235
0.4444444444,-0.23
0.4472222222,-0.22
0.45,-0.19
0.4527777778,-0.165
0.4555555556,-0.16
0.4583333333,-0.16
0.4611111111,-0.165
0.4638888889,-0.15
0.4666666667,-0.15
0.4694444444,-0.15
0.4722222222,-0.155
0.475,-0.165
0.4777777778,-0.16
0.4805555556,-0.155
0.4833333333,-0.15
0.4861111111,-0.155
0.4888888889,-0.155
0.4916666667,-0.165
0.4944444444,-0.16
0.4972222222,-0.145
0.5,-0.165
0.5027777778,-0.165
0.5055555556,-0.17
0.5083333333,-0.175
0.5111111111,-0.175
0.5138888889,-0.16
0.5166666667,-0.155
0.5194444444,-0.155
0.5222222222,-0.17
0.525,-0.205
0.5277777778,-0.195
0.5305555556,-0.185
0.5333333333,-0.165
0.5361111111,-0.175
0.5388888889,-0.19
0.5416666667,-0.2
0.5444444444,-0.205
0.5472222222,-0.185
0.55,-0.165
0.5527777778,-0.155
0.5555555556,-0.17
0.5583333333,-0.195
0.5611111111,-0.215
0.5638888889,-0.205
0.5666666667,-0.195
0.5694444444,-0.19
0.5722222222,-0.19
0.575,-0.195
0.5777777778,-0.205
0.5805555556,-0.195
0.5833333333,-0.185
0.5861111111,-0.185
0.5888888889,-0.195
0.5916666667,-0.185
0.5944444444,-0.205
0.5972222222,-0.195
0.6,-0.2
0.6027777778,-0.17
0.6055555556,-0.175
0.6083333333,-0.19
0.6111111111,-0.195
0.6138888889,-0.185
0.6166666667,-0.17
0.6194444444,-0.185
0.6222222222,-0.18
0.625,-0.18
0.6277777778,-0.175
0.6305555556,-0.175
0.6333333333,-0.165
0.6361111111,-0.165
0.6388888889,-0.18
0.6416666667,-0.19
0.6444444444,-0.2
0.6472222222,-0.19
0.65,-0.16
0.6527777778,-0.165
0.6555555556,-0.2
0.6583333333,-0.195
0.6611111111,-0.195
0.6638888889,-0.18
0.6666666667,-0.18
0.6694444444,-0.16
0.6722222222,-0.185
0.675,-0.205
0.6777777778,-0.205
0.6805555556,-0.21
0.6833333333,-0.185
0.6861111111,-0.185
0.6888888889,-0.19
0.6916666667,-0.205
0.6944444444,-0.22
0.6972222222,-0.21
0.7,-0.19
0.7027777778,-0.17
0.7055555556,-0.18
0.7083333333,-0.195
0.7111111111,-0.21
0.7138888889,-0.2
0.7166666667,-0.185
0.7194444444,-0.195
0.7222222222,-0.185
0.725,-0.19
0.7277777778,-0.19
0.7305555556,-0.175
0.7333333333,-0.17
0.7361111111,-0.16
0.7388888889,-0.175
0.7416666667,-0.18
0.7444444444,-0.175
0.7472222222,-0.165
0.75,-0.145
0.7527777778,-0.14
0.7555555556,-0.15
0.7583333333,-0.19
0.7611111111,-0.185
0.7638888889,-0.13
0.7666666667,-0.09
0.7694444444,-0.11
0.7722222222,-0.105
0.775,-0.125
0.7777777778,-0.14
0.7805555556,-0.115
0.7833333333,-0.1
0.7861111111,-0.1
0.7888888889,-0.105
0.7916666667,-0.14
0.7944444444,-0.16
0.7972222222,-0.155
0.8,-0.145
0.8027777778,-0.16
0.8055555556,-0.16
0.8083333333,-0.175
0.8111111111,-0.17
0.8138888889,-0.175
0.8166666667,-0.15
0.8194444444,-0.16
0.8222222222,-0.175
0.825,-0.19
0.8277777778,-0.205
0.8305555556,-0.2
0.8333333333,-0.19
0.8361111111,-0.19
0.8388888889,-0.205
0.8416666667,-0.2
0.8444444444,-0.205
0.8472222222,-0.19
0.85,-0.18
0.8527777778,-0.21
0.8555555556,-0.215
0.8583333333,-0.215
0.8611111111,-0.23
0.8638888889,-0.215
0.8666666667,-0.195
0.8694444444,-0.185
0.8722222222,-0.195
0.875,-0.205
0.8777777778,-0.21
0.8805555556,-0.18
0.8833333333,-0.155
0.8861111111,-0.14
0.8888888889,-0.15
0.8916666667,-0.17
0.8944444444,-0.175
0.8972222222,-0.165
0.9,-0.145
0.9027777778,-0.135
0.9055555556,-0.135
0.9083333333,-0.16
0.9111111111,-0.17
0.9138888889,-0.145
0.9166666667,-0.075
0.9194444444,0.055
0.9222222222,0.18
0.925,0.275
0.9277777778,0.36
0.9305555556,0.46
0.9333333333,0.565
0.9361111111,0.67
0.9388888889,0.795
0.9416666667,0.92
0.9444444444,1.06
0.9472222222,1.24
0.95,1.42
0.9527777778,1.635
0.9555555556,1.805
0.9583333333,1.95
0.9611111111,2.05
0.9638888889,2.085
0.9666666667,2.025
0.9694444444,1.86
0.9722222222,1.545
0.975,1.185
0.9777777778,0.87
0.9805555556,0.695
0.9833333333,0.6
0.9861111111,0.555
0.9888888889,0.495
0.9916666667,0.46
0.9944444444,0.435
0.9972222222,0.42
1.,0.415
1.0027777778,0.39
1.0055555556,0.33
1.0083333333,0.26
1.0111111111,0.22
1.0138888889,0.185
1.0166666667,0.16
1.0194444444,0.115
1.0222222222,0.06
1.025,0.01
1.0277777778,-0.015
1.0305555556,-0.05
1.0333333333,-0.075
1.0361111111,-0.115
1.0388888889,-0.16
1.0416666667,-0.21
1.0444444444,-0.24
1.0472222222,-0.265
1.05,-0.25
1.0527777778,-0.285
1.0555555556,-0.315
1.0583333333,-0.36
1.0611111111,-0.38
1.0638888889,-0.38
1.0666666667,-0.36
1.0694444444,-0.355
1.0722222222,-0.365
1.075,-0.385
1.0777777778,-0.415
1.0805555556,-0.415
1.0833333333,-0.41
1.0861111111,-0.415
1.0888888889,-0.42
1.0916666667,-0.43
1.0944444444,-0.43
1.0972222222,-0.42
1.1,-0.41
1.1027777778,-0.425
1.1055555556,-0.435
1.1083333333,-0.47
1.1111111111,-0.465
1.1138888889,-0.46
1.1166666667,-0.445
1.1194444444,-0.44
1.1222222222,-0.46
1.125,-0.48
1.1277777778,-0.485
1.1305555556,-0.485
1.1333333333,-0.49
1.1361111111,-0.485
1.1388888889,-0.51
1.1416666667,-0.535
1.1444444444,-0.555
1.1472222222,-0.55
1.15,-0.53
1.1527777778,-0.515
1.1555555556,-0.535
1.1583333333,-0.57
1.1611111111,-0.565
1.1638888889,-0.575
1.1666666667,-0.585
1.1694444444,-0.585
1.1722222222,-0.59
1.175,-0.615
1.1777777778,-0.63
1.1805555556,-0.645
1.1833333333,-0.635
1.1861111111,-0.64
1.1888888889,-0.67
1.1916666667,-0.675
1.1944444444,-0.685
1.1972222222,-0.66
1.2,-0.645
1.2027777778,-0.66
1.2055555556,-0.695
1.2083333333,-0.71
1.2111111111,-0.71
1.2138888889,-0.685
1.2166666667,-0.675
1.2194444444,-0.665
1.2222222222,-0.67
1.225,-0.675
1.2277777778,-0.685
1.2305555556,-0.675
1.2333333333,-0.655
1.2361111111,-0.625
1.2388888889,-0.6
1.2416666667,-0.62
1.2444444444,-0.6
1.2472222222,-0.575
1.25,-0.54
1.2527777778,-0.53
1.2555555556,-0.505
1.2583333333,-0.495
1.2611111111,-0.465
1.2638888889,-0.43
1.2666666667,-0.39
1.2694444444,-0.355
1.2722222222,-0.335
1.275,-0.33
1.2777777778,-0.31
1.2805555556,-0.27
1.2833333333,-0.265
1.2861111111,-0.26
1.2888888889,-0.27
1.2916666667,-0.27
1.2944444444,-0.265
1.2972222222,-0.235
1.3,-0.195
1.3027777778,-0.195
1.3055555556,-0.21
1.3083333333,-0.235
1.3111111111,-0.23
1.3138888889,-0.22
1.3166666667,-0.195
1.3194444444,-0.195
1.3222222222,-0.21
1.325,-0.22
1.3277777778,-0.22
1.3305555556,-0.21
1.3333333333,-0.2
1.3361111111,-0.205
1.3388888889,-0.21
1.3416666667,-0.21
1.3444444444,-0.21
1.3472222222,-0.215
1.35,-0.195
1.3527777778,-0.195
1.3555555556,-0.205
1.3583333333,-0.215
1.3611111111,-0.215
1.3638888889,-0.21
1.3666666667,-0.19
1.3694444444,-0.205
1.3722222222,-0.21
1.375,-0.22
1.3777777778,-0.23
1.3805555556,-0.215
1.3833333333,-0.195
1.3861111111,-0.195
1.3888888889,-0.21
1.3916666667,-0.235
1.3944444444,-0.24
1.3972222222,-0.235
1.4,-0.23
1.4027777778,-0.215
1.4055555556,-0.215
1.4083333333,-0.23
1.4111111111,-0.245
1.4138888889,-0.24
1.4166666667,-0.23
1.4194444444,-0.23
1.4222222222,-0.235
1.425,-0.255
1.4277777778,-0.235
1.4305555556,-0.24
1.4333333333,-0.22
1.4361111111,-0.235
1.4388888889,-0.24
1.4416666667,-0.24
1.4444444444,-0.245
1.4472222222,-0.22
1.45,-0.225
1.4527777778,-0.215
1.4555555556,-0.225
1.4583333333,-0.24
1.4611111111,-0.25
1.4638888889,-0.235
1.4666666667,-0.205
1.4694444444,-0.2
1.4722222222,-0.22
1.475,-0.225
1.4777777778,-0.23
1.4805555556,-0.215
1.4833333333,-0.2
1.4861111111,-0.2
1.4888888889,-0.21
1.4916666667,-0.21
1.4944444444,-0.215
1.4972222222,-0.21
1.5,-0.205
1.5027777778,-0.2
1.5055555556,-0.2
1.5083333333,-0.21
1.5111111111,-0.215
1.5138888889,-0.205
1.5166666667,-0.185
1.5194444444,-0.2
1.5222222222,-0.215
1.525,-0.225
1.5277777778,-0.205
