Time,ECG_Signal
0000.000,-0.273
0000.004,-0.307
0000.008,-0.297
0000.012,-0.32
0000.016,-0.333
0000.020,-0.335
0000.024,-0.338
0000.028,-0.325
0000.032,-0.328
0000.036,-0.295
0000.040,-0.345
0000.044,-0.278
0000.048,-0.328
0000.052,-0.347
0000.056,-0.375
0000.060,-0.328
0000.064,-0.3
0000.068,-0.307
0000.072,-0.297
0000.076,-0.285
0000.080,-0.278
0000.084,-0.297
0000.088,-0.3
0000.092,-0.247
0000.096,-0.26
0000.100,-0.263
0000.104,-0.225
0000.108,-0.21
0000.112,-0.215
0000.116,-0.215
0000.120,-0.24
0000.124,-0.203
0000.128,-0.212
0000.132,-0.207
0000.136,-0.17
0000.140,-0.2
0000.144,-0.195
0000.148,-0.188
0000.152,-0.198
0000.156,-0.228
0000.160,-0.225
0000.164,-0.285
0000.168,-0.25
0000.172,-0.25
0000.176,-0.228
0000.180,-0.207
0000.184,-0.237
0000.188,-0.253
0000.192,-0.228
0000.196,-0.233
0000.200,-0.188
0000.204,-0.185
0000.208,-0.2
0000.212,-0.16
0000.216,-0.122
0000.220,-0.125
0000.224,-0.1
0000.228,-0.022
0000.232,0.095
0000.236,0.313
0000.240,0.588
0000.244,0.978
0000.248,1.353
0000.252,1.77
0000.256,2.112
0000.260,2.35
0000.264,2.283
0000.268,2.0
0000.272,1.5
0000.276,0.978
0000.280,0.537
0000.284,0.138
0000.288,-0.122
0000.292,-0.198
0000.296,-0.25
0000.300,-0.287
0000.304,-0.212
0000.308,-0.263
0000.312,-0.273
0000.316,-0.307
0000.320,-0.325
0000.324,-0.347
0000.328,-0.34
0000.332,-0.333
0000.336,-0.328
0000.340,-0.36
0000.344,-0.378
0000.348,-0.39
0000.352,-0.39
0000.356,-0.42
0000.360,-0.388
0000.364,-0.422
0000.368,-0.4
0000.372,-0.412
0000.376,-0.415
0000.380,-0.438
0000.384,-0.435
0000.388,-0.432
0000.392,-0.425
0000.396,-0.438
0000.400,-0.435
0000.404,-0.422
0000.408,-0.395
0000.412,-0.44
0000.416,-0.46
0000.420,-0.44
0000.424,-0.487
0000.428,-0.425
0000.432,-0.412
0000.436,-0.388
