Time,ECG_1,ECG_2
0.003,-0.15,0.2
0.006,-0.15,0.2
0.008,-0.15,0.2
0.011,-0.15,0.2
0.014,-0.15,0.2
0.017,-0.15,0.2
0.019,-0.15,0.2
0.022,-0.145,0.2
0.025,-0.135,0.215
0.028,-0.11,0.235
0.031,-0.08,0.24
0.033,-0.04,0.24
0.036,0,0.245
0.039,0.125,0.265
0.042,0.485,0.335
0.044,0.925,0.46
0.047,0.985,0.775
0.05,0.625,1.03
0.053,0.25,0.935
0.056,0.095,0.665
0.058,0.1,0.485
0.061,0.12,0.445
0.064,0.11,0.425
0.067,0.08,0.395
0.069,0.05,0.355
0.072,0.04,0.335
0.075,0.035,0.33
0.078,0.045,0.335
0.081,0.06,0.3
0.083,0.06,0.305
0.086,0.045,0.26
0.089,0.015,0.235
0.092,0.01,0.21
0.094,0,0.195
0.097,0,0.165
0.1,-0.02,0.165
0.103,-0.035,0.135
0.106,-0.065,0.115
0.108,-0.075,0.11
0.111,-0.11,0.11
0.114,-0.145,0.105
0.117,-0.18,0.085
0.119,-0.225,0.065
0.122,-0.27,0.035
0.125,-0.31,0.04
0.128,-0.38,0.03
0.131,-0.455,0.02
0.133,-0.51,-0.005
0.136,-0.565,-0.02
0.139,-0.62,-0.04
0.142,-0.665,-0.03
0.144,-0.705,-0.035
0.147,-0.75,-0.045
0.15,-0.79,-0.07
0.153,-0.83,-0.105
0.156,-0.86,-0.15
0.158,-0.88,-0.18
0.161,-0.885,-0.22
0.164,-0.9,-0.255
0.167,-0.9,-0.3
0.169,-0.895,-0.33
0.172,-0.885,-0.345
0.175,-0.87,-0.37
0.178,-0.855,-0.385
0.181,-0.845,-0.405
0.183,-0.825,-0.435
0.186,-0.82,-0.475
0.189,-0.8,-0.48
0.192,-0.77,-0.5
0.194,-0.72,-0.51
0.197,-0.655,-0.535
0.2,-0.61,-0.565
0.203,-0.58,-0.58
0.206,-0.55,-0.565
0.208,-0.49,-0.53
0.211,-0.445,-0.485
0.214,-0.38,-0.445
0.217,-0.345,-0.4
0.219,-0.31,-0.36
0.222,-0.3,-0.305
0.225,-0.27,-0.245
0.228,-0.235,-0.18
0.231,-0.225,-0.125
0.233,-0.215,-0.085
0.236,-0.22,-0.055
0.239,-0.225,-0.015
0.242,-0.22,0.02
0.244,-0.21,0.055
0.247,-0.2,0.085
