Time [s], II
0,-0.29492
0.008,-0.33984
0.016,-0.14844
0.024,-0.089844
0.032,-0.054688
0.04,-0.054688
0.048,-0.035156
0.056,-0.035156
0.064,-0.025391
0.072,-0.025391
0.08,-0.019531
0.088,-0.013672
0.096,-0.0039062
0.104,-0.013672
0.112,0
0.12,0
0.128,0
0.136,0.0058594
0.144,0
0.152,0.019531
0.16,0.015625
0.168,0.03125
0.176,0.025391
0.184,0.035156
0.192,0.03125
0.2,0.050781
0.208,0.050781
0.216,0.070312
0.224,0.060547
0.232,0.076172
0.24,0.060547
0.248,0.070312
0.256,0.054688
0.264,0.050781
0.272,0.035156
0.28,0.041016
0.288,0.019531
0.296,0.015625
0.304,0
0.312,0
0.32,-0.0097656
0.328,-0.0097656
0.336,-0.0039062
0.344,-0.013672
0.352,-0.0039062
0.36,-0.019531
0.368,-0.0097656
0.376,-0.019531
0.384,-0.0097656
0.392,-0.019531
0.4,-0.0097656
0.408,-0.025391
0.416,-0.013672
0.424,-0.025391
0.432,0
0.44,0.0097656
0.448,0.03125
0.456,0.041016
0.464,0.044922
0.472,0.03125
0.48,0.019531
0.488,0.0058594
0.496,0.019531
0.504,0.015625
0.512,-0.019531
0.52,-0.064453
0.528,-0.074219
0.536,-0.083984
0.544,-0.080078
0.552,-0.074219
0.56,-0.089844
0.568,-0.083984
0.576,-0.09375
0.584,-0.074219
0.592,-0.025391
0.6,0.054688
0.608,0.089844
0.616,-0.048828
0.624,-0.17383
0.632,-0.23438
0.64,-0.33008
0.648,-0.33398
0.656,-0.125
0.664,-0.058594
0.672,-0.064453
0.68,-0.048828
0.688,-0.044922
0.696,-0.025391
0.704,-0.035156
0.712,-0.025391
0.72,-0.029297
0.728,-0.0097656
0.736,0
0.744,-0.013672
0.752,-0.0039062
0.76,-0.0097656
0.768,0.0058594
0.776,0
0.784,0.015625
0.792,0.019531
0.8,0.025391
0.808,0.019531
0.816,0.035156
0.824,0.03125
0.832,0.044922
0.84,0.050781
0.848,0.070312
0.856,0.070312
0.864,0.070312
0.872,0.064453
0.88,0.076172
0.888,0.054688
0.896,0.070312
0.904,0.050781
0.912,0.044922
0.92,0.035156
0.928,0.019531
0.936,0.015625
0.944,0.019531
0.952,0
0.96,-0.0039062
0.968,0
0.976,-0.019531
0.984,-0.0039062
0.992,-0.013672
1,0
1.008,-0.0039062
1.016,0
1.024,-0.013672
1.032,-0.0097656
1.04,-0.019531
1.048,-0.013672
1.056,-0.013672
1.064,0
1.072,0.015625
1.08,0.035156
1.088,0.054688
1.096,0.044922
1.104,0.041016
1.112,0.044922
1.12,0.019531
1.128,0.03125
1.136,0.025391
1.144,0.0097656
1.152,-0.039062
1.16,-0.054688
1.168,-0.044922
1.176,-0.070312
1.184,-0.058594
1.192,-0.070312
1.2,-0.058594
1.208,-0.058594
1.216,-0.048828
1.224,-0.013672
1.232,0.03125
1.24,0.089844
1.248,-0.013672
1.256,-0.11523
1.264,-0.1543
1.272,-0.27344
1.28,-0.31445
1.288,-0.13477
1.296,-0.054688
1.304,-0.048828
1.312,-0.035156
1.32,-0.048828
1.328,-0.039062
1.336,-0.044922
1.344,-0.029297
1.352,-0.019531
1.36,-0.0039062
1.368,0.0058594
1.376,0
1.384,0.019531
1.392,0.0097656
1.4,0.019531
1.408,0.015625
1.416,0.019531
1.424,0.019531
1.432,0.03125
1.44,0.019531
1.448,0.041016
1.456,0.035156
1.464,0.050781
1.472,0.044922
1.48,0.060547
1.488,0.044922
1.496,0.064453
1.504,0.060547
1.512,0.070312
1.52,0.054688
1.528,0.050781
1.536,0.035156
1.544,0.03125
1.552,0.019531
1.56,0.015625
1.568,0
1.576,-0.0097656
1.584,-0.025391
1.592,-0.029297
1.6,-0.025391
1.608,-0.044922
1.616,-0.035156
1.624,-0.044922
1.632,-0.035156
1.64,-0.048828
1.648,-0.039062
1.656,-0.048828
1.664,-0.035156
1.672,-0.048828
1.68,-0.039062
1.688,-0.044922
1.696,-0.029297
1.704,-0.025391
1.712,0
1.72,0
1.728,0.019531
1.736,0.03125
1.744,0.019531
1.752,0.025391
1.76,0
1.768,0.0097656
1.776,0.015625
1.784,0.019531
1.792,-0.048828
1.8,-0.074219
1.808,-0.083984
1.816,-0.074219
1.824,-0.09375
1.832,-0.083984
1.84,-0.09375
1.848,-0.089844
